,Project Type,Project Size (sqft),Budget (INR),Number of Workers,Subcontractors Involved,Number of Tasks,Task Completion Percentage,Number of Delays,Weather Conditions,Material Availability,Permits/Regulatory Approvals,Change Orders,Site Location,Project Complexity (1-10),Project Manager Experience (years),Contract Type,Risk Factors,Previous Similar Project Performance (days)
5419,Infrastructure,45005,55192344,69,10,37,74,1,Adverse,No,3,5,Chennai,6,16,Time and materials,Low,885
5420,Educational,40655,17896875,25,4,14,35,1,Favorable,No,2,2,Banglore,3,18,Fixed price,High,806
5421,Educational,23984,33782743,27,8,10,54,3,Favorable,No,3,9,Delhi,2,15,Fixed price,Medium,729
5422,Industrial,4144,51348863,45,10,26,63,2,Moderate,No,1,1,Pune,7,5,Time and materials,High,207
5423,Commercial,525,24157067,58,1,17,15,2,Adverse,No,2,9,Pune,10,6,Time and materials,Medium,377
5424,Commercial,28962,81470559,7,10,5,21,4,Moderate,Yes,1,1,Delhi,2,4,Fixed price,Medium,635
5425,Educational,8985,29241813,31,4,8,69,0,Adverse,No,3,6,Mumbai,4,2,Fixed price,Medium,657
5426,Educational,35964,49499042,99,3,35,27,3,Adverse,Yes,1,5,Pune,4,13,Time and materials,Low,631
5427,Residential,9054,40879907,14,4,18,45,3,Moderate,Yes,3,3,Kolkata,10,4,Time and materials,High,181
5428,Commercial,22487,10293660,93,6,42,75,5,Favorable,Yes,2,5,Kolkata,8,13,Fixed price,Medium,404
5429,Industrial,39471,45351781,56,9,42,63,4,Moderate,No,1,8,Pune,5,5,Fixed price,High,400
5430,Commercial,32100,41095375,7,10,32,22,0,Moderate,Yes,3,5,Mumbai,3,18,Fixed price,Low,378
5431,Educational,44659,9057541,25,7,29,83,1,Adverse,No,3,7,Chennai,8,15,Fixed price,Low,579
5432,Infrastructure,40969,13809291,30,5,19,47,4,Favorable,Yes,1,7,Delhi,7,10,Fixed price,Low,445
5433,Industrial,37342,67827932,58,6,15,47,3,Favorable,Yes,5,8,Chennai,9,14,Time and materials,Medium,882
5434,Infrastructure,33311,32198854,97,9,14,57,3,Moderate,No,1,1,Kolkata,8,11,Fixed price,Low,148
5435,Educational,33625,32771139,9,4,5,15,5,Moderate,Yes,4,7,Kolkata,8,16,Fixed price,Medium,835
5436,Infrastructure,14355,78087728,91,6,20,36,0,Moderate,Yes,5,7,Banglore,1,5,Time and materials,Low,468
5437,Educational,38157,7628281,46,7,20,97,3,Moderate,Yes,1,3,Kolkata,7,10,Fixed price,High,109
5438,Residential,7135,71348958,15,1,37,20,3,Favorable,No,4,1,Banglore,5,2,Fixed price,Medium,518
5439,Educational,5977,23093256,58,3,34,58,5,Adverse,No,3,6,Hyderabad,8,10,Fixed price,Medium,153
5440,Educational,15695,64521129,68,3,6,99,3,Favorable,No,2,6,Kolkata,6,9,Fixed price,High,514
5441,Educational,35883,29432630,84,7,14,21,5,Moderate,Yes,5,10,Mumbai,4,19,Fixed price,Medium,472
5442,Commercial,34630,41066906,78,4,20,78,1,Favorable,No,4,2,Chennai,1,5,Time and materials,Medium,129
5443,Residential,28387,9540767,87,2,41,29,1,Adverse,Yes,2,8,Delhi,6,19,Fixed price,Medium,775
5444,Residential,31395,32875719,34,3,34,23,1,Adverse,Yes,1,10,Kolkata,1,2,Time and materials,High,691
5445,Educational,43465,8086441,17,2,15,69,4,Favorable,No,4,4,Chennai,6,2,Fixed price,High,833
5446,Infrastructure,4959,41378737,74,2,7,27,1,Moderate,Yes,4,2,Pune,4,16,Time and materials,Low,133
5447,Commercial,26966,55724125,52,8,17,50,4,Favorable,Yes,4,7,Pune,9,2,Fixed price,Medium,926
5448,Educational,44478,48596168,8,1,18,57,2,Favorable,Yes,3,7,Delhi,7,2,Fixed price,Low,902
5449,Commercial,24512,5186504,90,3,8,96,2,Moderate,No,4,1,Banglore,6,8,Fixed price,Medium,149
5450,Educational,28843,41445552,87,9,42,51,5,Moderate,Yes,4,3,Banglore,6,4,Time and materials,Medium,166
5451,Educational,35368,47881206,36,7,20,6,4,Favorable,No,1,10,Pune,4,6,Time and materials,Medium,289
5452,Infrastructure,9163,58820440,84,5,25,95,0,Adverse,Yes,1,2,Banglore,9,14,Time and materials,Low,726
5453,Residential,6556,8342330,70,7,22,82,0,Adverse,No,1,7,Banglore,3,11,Fixed price,Medium,636
5454,Residential,11736,14172250,88,7,19,94,1,Favorable,Yes,2,5,Pune,7,2,Time and materials,Low,649
5455,Educational,17733,69248975,31,3,32,93,2,Moderate,Yes,1,6,Pune,7,20,Fixed price,Low,825
5456,Infrastructure,15653,53470260,38,6,23,14,2,Moderate,No,4,0,Chennai,1,20,Time and materials,High,743
5457,Commercial,25654,22102734,57,10,13,80,1,Favorable,No,1,9,Delhi,10,13,Time and materials,Low,897
5458,Infrastructure,8783,65307139,6,6,40,66,1,Moderate,Yes,2,0,Chennai,9,14,Time and materials,Medium,330
5459,Educational,2969,72485809,29,10,50,54,4,Moderate,Yes,2,5,Hyderabad,5,6,Fixed price,Medium,477
5460,Industrial,4034,41078360,27,7,36,84,5,Favorable,No,5,0,Pune,5,4,Fixed price,High,757
5461,Infrastructure,45448,47526962,99,3,22,45,3,Favorable,Yes,4,1,Banglore,9,15,Time and materials,High,820
5462,Commercial,9903,22229226,82,4,49,90,5,Adverse,No,1,7,Hyderabad,6,5,Time and materials,High,871
5463,Commercial,2229,72962561,35,4,27,42,5,Adverse,Yes,3,10,Kolkata,5,6,Time and materials,High,193
5464,Educational,26073,43246320,33,2,25,95,3,Moderate,No,3,3,Chennai,6,9,Time and materials,Medium,537
5465,Commercial,11590,43103145,100,7,16,54,2,Adverse,Yes,3,7,Banglore,6,14,Fixed price,High,244
5466,Educational,3609,56001594,91,3,45,10,4,Adverse,No,5,5,Chennai,2,20,Time and materials,Low,876
5467,Industrial,33667,50239070,21,6,12,96,2,Moderate,No,4,5,Banglore,5,11,Fixed price,Low,145
5468,Residential,1209,80716919,42,7,36,87,3,Moderate,No,5,3,Kolkata,8,15,Fixed price,High,273
5469,Residential,16464,16332740,56,7,48,62,1,Moderate,No,4,1,Banglore,5,8,Fixed price,Medium,900
5470,Commercial,34492,82360817,91,4,10,12,3,Moderate,No,4,10,Banglore,8,16,Fixed price,Low,394
5471,Educational,12235,77361727,43,10,11,20,4,Adverse,No,1,1,Mumbai,5,20,Time and materials,Low,219
5472,Residential,29571,18444924,32,5,22,38,3,Moderate,Yes,1,2,Hyderabad,6,8,Fixed price,Low,620
5473,Residential,2226,15218714,40,8,22,82,3,Moderate,Yes,1,5,Chennai,5,17,Time and materials,Low,394
5474,Educational,9965,41666249,99,9,50,15,5,Favorable,No,4,1,Hyderabad,8,12,Fixed price,Medium,691
5475,Industrial,14934,18666451,83,8,13,72,4,Adverse,Yes,3,7,Banglore,7,18,Time and materials,Low,989
5476,Commercial,48082,58764249,73,9,35,20,5,Favorable,No,2,5,Banglore,7,5,Time and materials,Low,561
5477,Educational,30627,65715084,33,2,20,3,5,Favorable,Yes,4,10,Kolkata,8,12,Fixed price,Medium,633
5478,Commercial,8589,62844778,75,10,29,60,4,Adverse,Yes,1,5,Pune,4,19,Time and materials,Medium,471
5479,Commercial,24555,76785292,66,1,50,34,0,Favorable,No,4,7,Hyderabad,10,8,Time and materials,High,532
5480,Educational,21625,74484864,6,7,44,42,5,Favorable,Yes,4,9,Kolkata,1,2,Time and materials,Low,776
5481,Educational,36652,26304028,82,3,43,48,3,Favorable,No,4,6,Pune,1,14,Time and materials,Medium,835
5482,Industrial,29246,70183472,49,5,24,80,2,Favorable,Yes,3,1,Delhi,3,15,Fixed price,Low,868
5483,Industrial,12524,4932192,9,10,33,6,4,Adverse,No,4,8,Hyderabad,1,5,Time and materials,High,336
5484,Commercial,28668,52424709,58,4,10,53,5,Adverse,No,3,7,Banglore,4,14,Fixed price,Medium,473
5485,Educational,44832,76346471,40,1,46,1,3,Adverse,Yes,5,9,Hyderabad,9,1,Time and materials,Medium,877
5486,Infrastructure,49338,9900572,9,5,50,87,1,Favorable,Yes,1,4,Pune,5,10,Fixed price,Medium,333
5487,Infrastructure,6234,15235563,17,3,32,99,0,Moderate,Yes,5,10,Pune,4,13,Time and materials,High,603
5488,Residential,48444,24375274,35,3,46,91,2,Favorable,Yes,3,1,Mumbai,4,14,Time and materials,High,235
5489,Residential,23777,31692222,33,1,46,33,4,Favorable,No,5,4,Delhi,4,5,Fixed price,Medium,186
5490,Commercial,19283,20103845,14,7,28,16,1,Favorable,Yes,2,10,Banglore,4,11,Fixed price,Low,278
5491,Residential,8026,73125739,23,8,25,46,5,Favorable,No,3,6,Pune,10,14,Fixed price,Low,430
5492,Infrastructure,11259,46723937,41,3,48,18,5,Moderate,No,5,7,Mumbai,9,8,Fixed price,High,720
5493,Industrial,2588,44404668,22,9,20,9,3,Moderate,Yes,1,6,Delhi,7,8,Fixed price,Medium,320
5494,Industrial,34780,23384503,91,6,46,75,1,Adverse,No,1,3,Pune,5,3,Time and materials,Medium,318
5495,Infrastructure,37656,33692937,92,1,7,33,4,Favorable,No,1,4,Banglore,10,3,Fixed price,High,551
5496,Infrastructure,14770,7867487,17,7,27,66,3,Adverse,No,5,9,Mumbai,5,7,Time and materials,Medium,422
5497,Commercial,24420,25581264,91,8,33,28,2,Moderate,Yes,2,9,Hyderabad,6,16,Time and materials,Medium,666
5498,Residential,48931,21005474,30,3,11,68,5,Moderate,Yes,3,1,Pune,4,3,Fixed price,Medium,134
5499,Industrial,7472,29292609,14,8,43,11,2,Favorable,Yes,3,0,Pune,1,17,Time and materials,Low,372
5500,Industrial,26743,69671694,80,5,27,88,0,Favorable,Yes,1,0,Hyderabad,6,15,Time and materials,Medium,928
5501,Infrastructure,1935,33701818,52,2,46,55,2,Adverse,Yes,2,9,Kolkata,2,1,Time and materials,Low,893
5502,Residential,20821,20984973,55,5,23,37,3,Adverse,Yes,1,6,Delhi,8,16,Fixed price,Medium,656
5503,Commercial,32744,31993263,48,6,42,23,3,Favorable,Yes,2,6,Pune,9,2,Time and materials,Low,613
5504,Commercial,39938,60124370,84,6,29,7,1,Favorable,Yes,5,8,Chennai,10,9,Time and materials,Low,346
5505,Infrastructure,39200,14388382,50,7,30,16,5,Adverse,No,5,10,Kolkata,5,20,Fixed price,High,571
5506,Industrial,8068,37844929,64,3,43,54,4,Moderate,Yes,5,9,Kolkata,7,11,Fixed price,Medium,454
5507,Infrastructure,46675,20441489,84,7,7,70,4,Favorable,No,5,2,Kolkata,10,4,Fixed price,Low,805
5508,Commercial,42986,15756139,14,9,33,74,3,Favorable,Yes,3,9,Pune,7,6,Fixed price,Medium,870
5509,Infrastructure,25091,74151370,95,5,44,8,4,Favorable,No,5,6,Chennai,5,16,Time and materials,High,670
5510,Industrial,47649,5485387,13,7,6,58,0,Adverse,No,5,9,Delhi,1,9,Fixed price,Low,537
5511,Educational,24239,24367804,96,9,43,8,4,Favorable,Yes,4,3,Hyderabad,1,2,Fixed price,Medium,161
5512,Infrastructure,27089,41222863,56,9,45,11,3,Moderate,No,2,8,Mumbai,7,8,Fixed price,High,577
5513,Infrastructure,15085,54147706,50,1,42,59,2,Favorable,Yes,1,5,Banglore,6,19,Fixed price,Medium,162
5514,Commercial,20944,8971636,10,10,24,41,3,Favorable,Yes,2,5,Chennai,4,16,Fixed price,Low,525
5515,Infrastructure,834,62755387,92,1,43,29,2,Favorable,Yes,5,10,Kolkata,5,9,Fixed price,Medium,214
5516,Residential,21434,66949543,64,1,25,49,1,Adverse,Yes,5,7,Banglore,3,13,Time and materials,High,145
5517,Residential,12829,73452925,94,5,10,62,5,Moderate,No,3,4,Banglore,3,15,Time and materials,Medium,406
5518,Infrastructure,29570,47951590,42,6,19,55,4,Favorable,No,2,7,Mumbai,2,14,Fixed price,Low,761
5519,Residential,28732,78566389,80,7,5,53,4,Moderate,No,3,8,Chennai,6,19,Time and materials,Medium,980
5520,Residential,7054,68612033,45,6,39,71,1,Moderate,No,4,1,Chennai,6,18,Time and materials,Medium,746
5521,Commercial,13179,51582508,95,2,41,81,1,Favorable,No,5,2,Kolkata,4,7,Fixed price,Medium,278
5522,Commercial,23532,42574020,82,1,10,87,4,Adverse,No,4,4,Hyderabad,1,18,Fixed price,High,259
5523,Educational,42525,69329734,23,2,14,13,0,Adverse,Yes,5,8,Hyderabad,8,18,Fixed price,Medium,520
5524,Residential,12051,41825692,13,3,7,23,0,Favorable,No,1,4,Chennai,6,7,Fixed price,Medium,887
5525,Infrastructure,30831,8275100,37,10,28,60,4,Favorable,Yes,4,4,Hyderabad,6,1,Time and materials,Low,101
5526,Commercial,32367,48514413,83,6,41,99,4,Adverse,Yes,4,6,Mumbai,10,3,Time and materials,Medium,302
5527,Industrial,9998,79650535,36,10,26,98,1,Adverse,No,5,10,Kolkata,7,12,Time and materials,Medium,446
5528,Infrastructure,40314,69309565,88,3,19,91,2,Adverse,Yes,4,9,Chennai,7,10,Fixed price,High,598
5529,Residential,23877,80143223,60,4,22,6,5,Moderate,No,4,0,Mumbai,2,15,Time and materials,Medium,421
5530,Infrastructure,2121,68846425,29,5,11,48,4,Favorable,No,4,1,Hyderabad,6,5,Time and materials,High,897
5531,Industrial,25906,5495679,13,6,28,78,5,Adverse,Yes,3,8,Mumbai,7,13,Time and materials,Medium,648
5532,Commercial,34155,9768436,28,10,37,15,5,Favorable,No,2,6,Pune,9,11,Time and materials,Medium,597
5533,Infrastructure,24692,42250652,65,6,8,97,3,Adverse,No,3,8,Chennai,8,14,Fixed price,Medium,972
5534,Commercial,2825,39281078,61,8,38,21,0,Moderate,Yes,5,8,Mumbai,4,8,Time and materials,Low,492
5535,Educational,6122,8294190,29,10,22,4,0,Favorable,No,1,5,Banglore,3,6,Fixed price,Medium,431
5536,Residential,48442,25152652,49,9,33,63,2,Favorable,No,3,10,Pune,1,8,Time and materials,Low,957
5537,Commercial,47287,22053847,26,2,7,47,4,Moderate,No,2,1,Chennai,8,7,Time and materials,Low,158
5538,Commercial,37389,64569186,13,2,30,12,3,Favorable,No,4,5,Banglore,9,19,Fixed price,Low,595
5539,Commercial,39449,53363854,42,5,24,40,3,Adverse,Yes,1,5,Mumbai,10,1,Fixed price,Low,658
5540,Infrastructure,37959,15403306,34,1,16,46,1,Favorable,Yes,2,1,Chennai,10,9,Time and materials,Medium,321
5541,Residential,48350,27108132,23,8,14,0,5,Adverse,No,2,0,Pune,1,13,Fixed price,Low,153
5542,Commercial,27577,4596872,8,3,48,59,4,Moderate,Yes,1,1,Kolkata,2,10,Time and materials,Medium,747
5543,Educational,36313,77927372,59,4,32,60,4,Adverse,No,2,0,Delhi,10,13,Time and materials,Medium,113
5544,Residential,48005,70150023,80,1,37,53,4,Favorable,Yes,4,8,Hyderabad,10,4,Time and materials,Medium,128
5545,Educational,1465,19443663,60,7,50,33,0,Moderate,No,3,4,Chennai,1,17,Time and materials,High,950
5546,Commercial,3630,30363392,86,1,34,12,1,Adverse,Yes,5,2,Mumbai,10,14,Fixed price,Medium,818
5547,Industrial,22274,4150083,74,10,49,54,3,Adverse,No,5,0,Banglore,10,3,Time and materials,High,130
5548,Infrastructure,49911,79228231,56,8,6,27,3,Adverse,Yes,2,0,Hyderabad,10,14,Fixed price,High,415
5549,Educational,12654,37960465,72,5,48,14,2,Moderate,No,3,3,Delhi,4,7,Time and materials,Low,131
5550,Educational,30769,52769408,33,1,24,76,0,Favorable,No,3,5,Hyderabad,3,17,Fixed price,High,132
5551,Educational,32218,5197792,21,6,14,91,2,Moderate,Yes,2,10,Mumbai,3,8,Time and materials,Medium,899
5552,Industrial,15999,50260567,27,9,47,56,0,Favorable,Yes,2,4,Kolkata,6,19,Time and materials,High,574
5553,Educational,38994,8810616,64,7,44,89,4,Adverse,No,2,9,Banglore,6,18,Time and materials,High,587
5554,Infrastructure,32698,13707118,69,9,11,59,5,Adverse,Yes,1,7,Hyderabad,9,1,Time and materials,High,975
5555,Educational,5697,64490502,83,3,36,34,4,Adverse,No,2,2,Kolkata,10,6,Fixed price,High,473
5556,Infrastructure,38583,32564884,26,5,39,94,0,Moderate,No,3,6,Kolkata,10,13,Fixed price,High,170
5557,Industrial,37934,40687098,63,10,44,94,2,Favorable,Yes,1,0,Banglore,1,8,Time and materials,Low,362
5558,Industrial,48440,9268859,11,3,29,21,3,Adverse,No,5,7,Banglore,8,1,Fixed price,Low,663
5559,Residential,26082,44999944,59,9,17,33,0,Moderate,Yes,5,4,Delhi,8,18,Fixed price,Low,693
5560,Industrial,40564,22039820,76,9,8,32,4,Adverse,No,4,6,Pune,7,12,Time and materials,Low,902
5561,Industrial,43113,49975877,16,2,14,72,2,Moderate,No,4,4,Mumbai,8,7,Time and materials,High,248
5562,Commercial,22958,65539373,12,8,34,98,3,Adverse,No,4,4,Chennai,9,11,Time and materials,High,849
5563,Residential,28426,5593868,29,3,49,46,0,Moderate,No,4,1,Delhi,7,20,Time and materials,Low,619
5564,Residential,26810,50282728,88,3,34,84,4,Moderate,No,2,9,Delhi,8,18,Fixed price,Low,945
5565,Commercial,5630,72658532,41,2,13,87,3,Adverse,Yes,2,4,Chennai,5,19,Time and materials,Low,393
5566,Industrial,28134,81409886,34,5,46,94,4,Adverse,Yes,2,5,Hyderabad,4,1,Time and materials,Medium,481
5567,Residential,5261,37121003,40,2,28,43,1,Favorable,Yes,5,9,Hyderabad,8,18,Time and materials,Medium,970
5568,Residential,49478,37984535,19,9,25,33,4,Moderate,Yes,4,3,Kolkata,9,20,Time and materials,Medium,381
5569,Educational,38703,23085039,9,10,28,57,0,Favorable,Yes,5,0,Chennai,10,19,Fixed price,Low,406
5570,Industrial,20355,49133676,89,1,42,47,2,Moderate,No,1,10,Kolkata,6,7,Time and materials,Low,993
5571,Educational,33501,49472897,72,6,40,41,4,Adverse,Yes,5,6,Chennai,9,19,Time and materials,Low,613
5572,Infrastructure,8713,65060048,100,4,33,82,2,Favorable,No,5,9,Pune,1,11,Time and materials,Low,379
5573,Commercial,21893,34390469,46,1,32,85,4,Favorable,No,5,10,Hyderabad,1,17,Fixed price,Medium,656
5574,Industrial,44514,50196076,99,8,25,42,2,Moderate,No,4,0,Mumbai,1,18,Time and materials,Low,590
5575,Industrial,25506,53976643,85,9,19,57,2,Favorable,No,5,0,Chennai,4,3,Time and materials,Medium,601
5576,Industrial,12082,37839285,41,6,34,4,4,Favorable,Yes,1,9,Banglore,7,20,Time and materials,Medium,688
5577,Educational,18798,23424509,36,1,17,58,2,Favorable,Yes,2,9,Mumbai,8,1,Fixed price,Low,192
5578,Residential,22779,40364809,89,8,18,64,2,Moderate,No,2,10,Banglore,7,6,Fixed price,Medium,145
5579,Industrial,30716,59439039,87,1,16,28,4,Favorable,Yes,2,8,Mumbai,6,16,Fixed price,High,624
5580,Infrastructure,27186,38345917,71,10,27,43,4,Moderate,Yes,2,9,Banglore,9,18,Fixed price,Low,697
5581,Industrial,6053,62842371,31,2,50,41,0,Favorable,Yes,5,10,Chennai,5,15,Fixed price,Medium,946
5582,Commercial,6724,17302097,32,4,28,53,2,Adverse,No,4,9,Chennai,10,16,Fixed price,Medium,562
5583,Infrastructure,23197,45400004,45,6,33,70,4,Favorable,No,1,10,Banglore,9,16,Fixed price,High,375
5584,Industrial,34368,52405204,54,5,17,34,2,Favorable,No,3,4,Kolkata,6,4,Time and materials,Low,361
5585,Industrial,12073,70609262,55,10,31,80,0,Adverse,Yes,2,5,Pune,5,1,Time and materials,High,199
5586,Educational,40259,19482673,26,7,41,70,1,Adverse,No,2,6,Banglore,5,17,Time and materials,Medium,938
5587,Industrial,20098,13736334,40,8,44,84,4,Moderate,Yes,1,5,Hyderabad,1,1,Fixed price,Low,984
5588,Educational,38858,36800706,73,6,12,65,0,Moderate,No,1,1,Chennai,1,20,Fixed price,Low,895
5589,Educational,26326,21537919,95,7,9,83,1,Moderate,Yes,4,0,Delhi,6,18,Fixed price,Low,819
5590,Industrial,515,80693430,31,9,50,56,1,Adverse,Yes,5,2,Delhi,9,6,Time and materials,Low,696
5591,Industrial,26822,55321907,85,1,35,99,5,Favorable,Yes,5,5,Hyderabad,10,9,Fixed price,High,937
5592,Commercial,39050,69723569,89,10,47,90,2,Favorable,No,5,8,Hyderabad,2,4,Time and materials,Low,785
5593,Infrastructure,20690,62758292,13,5,37,59,2,Moderate,No,4,2,Kolkata,9,1,Fixed price,High,389
5594,Industrial,5511,36142931,14,7,19,81,3,Adverse,No,4,2,Pune,4,1,Fixed price,High,827
5595,Industrial,47103,58005048,72,5,5,0,5,Adverse,No,5,5,Mumbai,4,15,Time and materials,Medium,170
5596,Infrastructure,31932,10764270,78,5,35,58,0,Favorable,No,3,1,Chennai,2,18,Time and materials,Low,152
5597,Industrial,36443,27926346,42,10,22,61,5,Moderate,Yes,5,4,Pune,5,16,Fixed price,High,675
5598,Commercial,12973,33773115,30,4,45,82,0,Adverse,Yes,2,10,Mumbai,2,6,Time and materials,Low,503
5599,Commercial,16759,62930849,33,9,29,23,5,Favorable,No,4,4,Chennai,8,1,Fixed price,High,707
5600,Commercial,23519,80860592,69,5,8,36,4,Moderate,Yes,3,4,Chennai,7,11,Time and materials,Medium,776
5601,Infrastructure,34742,52453095,15,5,20,91,2,Adverse,No,3,1,Pune,3,6,Fixed price,Low,219
5602,Infrastructure,20314,79111035,94,3,33,99,0,Adverse,No,2,2,Pune,8,2,Fixed price,Low,438
5603,Infrastructure,1476,7820343,72,8,6,3,4,Adverse,No,3,8,Banglore,5,13,Time and materials,Medium,877
5604,Industrial,30023,79484701,85,4,26,60,2,Favorable,No,2,9,Hyderabad,5,16,Fixed price,Medium,293
5605,Commercial,4047,74431993,98,8,13,100,2,Adverse,Yes,1,2,Kolkata,9,19,Time and materials,Low,368
5606,Educational,49127,53753207,49,6,39,35,3,Moderate,Yes,4,1,Banglore,8,2,Fixed price,Low,727
5607,Educational,31291,51099863,89,4,16,72,3,Adverse,Yes,1,7,Kolkata,6,9,Time and materials,Medium,954
5608,Commercial,15901,70444590,24,7,46,5,3,Moderate,Yes,1,10,Banglore,10,8,Time and materials,Medium,793
5609,Educational,4847,15712232,90,10,7,68,2,Adverse,No,2,3,Mumbai,2,15,Fixed price,Low,679
5610,Infrastructure,3717,17407507,26,1,33,84,3,Adverse,No,1,10,Pune,5,5,Fixed price,Low,994
5611,Industrial,17722,49279673,14,6,25,86,1,Favorable,No,4,9,Chennai,2,20,Fixed price,Medium,130
5612,Industrial,23647,58516660,80,8,8,72,1,Adverse,Yes,1,4,Banglore,3,15,Time and materials,High,724
5613,Commercial,2254,46824616,6,1,8,70,2,Adverse,Yes,3,3,Chennai,6,2,Fixed price,Low,574
5614,Residential,42152,67574533,7,10,9,9,2,Favorable,No,4,10,Kolkata,10,15,Time and materials,High,752
5615,Residential,20136,19192422,82,7,28,20,0,Moderate,Yes,1,10,Mumbai,6,18,Fixed price,Low,859
5616,Residential,41883,15343961,63,10,9,81,5,Favorable,Yes,5,6,Chennai,4,13,Time and materials,Low,979
5617,Educational,11932,23023453,55,2,33,63,5,Adverse,Yes,4,4,Mumbai,5,1,Fixed price,Low,774
5618,Commercial,3542,11540237,21,6,9,64,5,Adverse,Yes,5,0,Kolkata,1,1,Time and materials,Medium,283
5619,Industrial,9373,19453125,94,8,49,42,0,Adverse,Yes,3,3,Kolkata,9,9,Time and materials,High,982
5620,Infrastructure,12212,10494520,39,10,31,42,3,Favorable,No,2,7,Chennai,6,3,Fixed price,High,533
5621,Educational,8878,57363292,48,8,16,19,4,Favorable,Yes,3,6,Banglore,6,1,Fixed price,High,695
5622,Educational,5719,50190764,31,7,12,74,5,Adverse,Yes,4,2,Chennai,3,19,Fixed price,Low,235
5623,Infrastructure,29171,66450049,75,4,22,34,3,Favorable,No,5,3,Hyderabad,7,14,Time and materials,High,764
5624,Industrial,34256,53735611,20,9,24,85,5,Adverse,No,2,8,Kolkata,9,12,Fixed price,Low,606
5625,Industrial,1808,67169659,78,9,34,53,4,Adverse,Yes,2,0,Mumbai,4,14,Fixed price,High,785
5626,Infrastructure,2501,26356069,80,5,24,89,4,Adverse,No,4,9,Chennai,6,6,Time and materials,High,192
5627,Educational,18433,54971315,88,9,37,52,1,Moderate,No,2,5,Pune,2,18,Fixed price,Medium,285
5628,Infrastructure,10361,9764867,14,9,30,21,3,Adverse,No,2,6,Kolkata,3,16,Fixed price,Medium,177
5629,Industrial,14502,20742115,95,5,10,7,5,Moderate,No,5,2,Kolkata,2,13,Time and materials,High,795
5630,Commercial,46317,82231503,66,1,34,75,3,Moderate,No,1,2,Mumbai,8,16,Time and materials,Low,279
5631,Industrial,31723,40345221,60,2,21,59,0,Moderate,No,1,0,Mumbai,5,10,Fixed price,Medium,925
5632,Residential,45220,50251354,62,7,39,73,2,Favorable,No,3,1,Mumbai,4,11,Time and materials,Medium,855
5633,Industrial,18490,47321288,39,1,28,4,0,Adverse,No,5,3,Banglore,10,8,Fixed price,Low,674
5634,Residential,47745,67166090,27,1,24,57,0,Favorable,Yes,4,0,Mumbai,1,15,Fixed price,Medium,299
5635,Infrastructure,44898,38598071,8,10,16,84,1,Favorable,Yes,3,6,Pune,5,6,Fixed price,Medium,856
5636,Infrastructure,30366,7510255,36,9,10,90,0,Adverse,Yes,2,9,Banglore,8,6,Fixed price,Low,863
5637,Commercial,48726,44728285,20,8,24,59,0,Favorable,No,5,7,Chennai,1,20,Time and materials,Low,262
5638,Educational,26083,20644424,75,7,40,95,2,Favorable,No,4,1,Delhi,6,11,Fixed price,High,517
5639,Residential,6307,19103778,50,2,41,1,2,Favorable,Yes,2,8,Mumbai,3,6,Time and materials,High,405
5640,Educational,35870,16562069,78,9,27,36,1,Adverse,No,2,1,Pune,1,18,Fixed price,Medium,696
5641,Commercial,9123,48879198,24,1,20,47,2,Moderate,No,4,10,Kolkata,2,19,Fixed price,Medium,282
5642,Educational,14288,38826404,6,1,46,56,3,Adverse,Yes,1,3,Kolkata,10,11,Fixed price,Low,685
5643,Residential,19761,30178136,27,5,28,3,2,Favorable,Yes,1,1,Chennai,4,8,Fixed price,High,172
5644,Infrastructure,36896,11234631,46,7,18,56,1,Moderate,Yes,5,7,Chennai,2,6,Fixed price,High,606
5645,Industrial,40481,59056990,39,1,6,39,0,Adverse,Yes,1,1,Banglore,5,1,Time and materials,Medium,545
5646,Educational,13554,57823610,14,3,36,97,4,Favorable,Yes,4,2,Delhi,1,10,Time and materials,Low,869
5647,Commercial,38238,45973119,12,7,13,70,2,Adverse,Yes,3,1,Pune,1,19,Fixed price,Medium,638
5648,Infrastructure,29914,41395503,56,2,14,63,3,Favorable,No,1,3,Mumbai,9,8,Time and materials,High,610
5649,Educational,24403,41198129,95,7,21,2,0,Adverse,Yes,1,9,Pune,7,18,Time and materials,High,143
5650,Educational,12689,49015899,58,2,24,87,0,Adverse,No,3,2,Banglore,9,17,Time and materials,Low,950
5651,Commercial,24245,63598086,54,1,48,2,1,Adverse,No,3,1,Banglore,9,1,Fixed price,High,469
5652,Residential,39353,29004350,53,4,34,75,4,Adverse,No,3,4,Delhi,6,5,Time and materials,High,573
5653,Commercial,34582,8158153,32,8,40,5,4,Moderate,No,5,9,Mumbai,4,5,Fixed price,Medium,754
5654,Commercial,43690,23586940,21,5,35,23,5,Adverse,No,2,1,Chennai,2,10,Fixed price,Medium,643
5655,Infrastructure,28549,25673726,44,3,39,21,1,Moderate,No,1,8,Banglore,9,9,Fixed price,Medium,697
5656,Industrial,32700,46070810,100,7,21,8,5,Favorable,Yes,2,1,Banglore,2,5,Fixed price,Low,970
5657,Industrial,4181,36086408,47,1,46,78,2,Adverse,No,5,8,Hyderabad,5,5,Fixed price,Low,401
5658,Educational,43556,49898521,20,10,48,55,0,Adverse,No,3,2,Pune,4,5,Fixed price,High,995
5659,Infrastructure,39678,25387542,79,7,36,90,1,Favorable,No,5,1,Mumbai,10,17,Time and materials,Medium,510
